date,household_deposits,card_consumables,card_credit,household_loans,google_home_loan_rate_search,unemployment_rate,employed_labour_force,labour_force_participation_rate,labour_cost_index,cpi,cpi_housing_household,cpi_qq,cpi_yy,production_based_gdp,production_based_gdp_qq,production_based_gdp_yy
1998-12,37277,,,41005.0,,7.5,1752.0,65.1,775.0,677.0,,-0.3,-0.1,35359.0,1.2,2.7
1999-01,37123,,,41357.0,,7.5,1752.0,65.1,775.0,677.0,,-0.3,-0.1,35359.0,1.2,2.7
1999-02,36935,,,41709.0,,7.5,1752.0,65.1,775.0,677.0,,-0.3,-0.1,35359.0,1.2,2.7
1999-03,37007,,,42061.0,,7.3,1758.0,65.1,777.0,679.0,537.0,0.2,-0.4,35094.0,0.8,2.9
1999-04,36679,,,42376.33333,,7.3,1758.0,65.1,777.0,679.0,537.0,0.2,-0.4,35094.0,0.8,2.9
1999-05,36907,,,42691.66667,,7.3,1758.0,65.1,777.0,679.0,537.0,0.2,-0.4,35094.0,0.8,2.9
1999-06,37049,,,43007.0,,7.0,1766.0,65.0,781.0,681.0,542.0,0.4,-0.5,36310.0,2.8,6.0
1999-07,37013,,,43674.33333,,7.0,1766.0,65.0,781.0,681.0,542.0,0.4,-0.5,36310.0,2.8,6.0
1999-08,37158,,,44341.66667,,7.0,1766.0,65.0,781.0,681.0,542.0,0.4,-0.5,36310.0,2.8,6.0
1999-09,37318,,,45009.0,,6.4,1786.0,65.2,784.0,683.0,542.0,0.2,0.5,39081.0,1.2,6.2
1999-10,37260,,,45324.66667,,6.4,1786.0,65.2,784.0,683.0,542.0,0.2,0.5,39081.0,1.2,6.2
1999-11,37431,,,45640.33333,,6.4,1786.0,65.2,784.0,683.0,542.0,0.2,0.5,39081.0,1.2,6.2
1999-12,37722,,,45956.0,,6.5,1784.0,65.1,786.0,687.0,545.0,0.7,1.5,37596.0,1.5,6.3
2000-01,37736,,,46200.0,,6.5,1784.0,65.1,786.0,687.0,545.0,0.7,1.5,37596.0,1.5,6.3
2000-02,37802,,,46444.0,,6.5,1784.0,65.1,786.0,687.0,545.0,0.7,1.5,37596.0,1.5,6.3
2000-03,37839,,,46688.0,,6.3,1784.0,64.9,790.0,692.0,547.0,0.7,2.0,37013.0,0.0,5.5
2000-04,37724,,,46922.66667,,6.3,1784.0,64.9,790.0,692.0,547.0,0.7,2.0,37013.0,0.0,5.5
2000-05,37986,,,47157.33333,,6.3,1784.0,64.9,790.0,692.0,547.0,0.7,2.0,37013.0,0.0,5.5
2000-06,38127,,,47392.0,,6.0,1806.0,65.3,793.0,702.0,551.0,1.4,3.0,37499.0,0.4,3.3
2000-07,38196,,,47607.33333,,6.0,1806.0,65.3,793.0,702.0,551.0,1.4,3.0,37499.0,0.4,3.3
2000-08,38007,,,47822.66667,,6.0,1806.0,65.3,793.0,702.0,551.0,1.4,3.0,37499.0,0.4,3.3
2000-09,38069,,,48038.0,,5.8,1822.0,65.6,796.0,710.0,554.0,1.2,4.0,39883.0,0.2,2.1
2000-10,38352,,,48452.0,,5.8,1822.0,65.6,796.0,710.0,554.0,1.2,4.0,39883.0,0.2,2.1
2000-11,38373,,,48866.0,,5.8,1822.0,65.6,796.0,710.0,554.0,1.2,4.0,39883.0,0.2,2.1
2000-12,38974,,,49280.0,,5.5,1824.0,65.4,800.0,708.0,544.0,-0.2,3.1,37935.0,0.3,0.9
2001-01,38937,,,49525.66667,,5.5,1824.0,65.4,800.0,708.0,544.0,-0.2,3.1,37935.0,0.3,0.9
2001-02,39145,,,49771.33333,,5.5,1824.0,65.4,800.0,708.0,544.0,-0.2,3.1,37935.0,0.3,0.9
2001-03,39679,,,50017.0,,5.4,1841.0,65.8,804.0,715.0,544.0,0.9,3.2,37865.0,1.4,2.3
2001-04,39822,,,50327.66667,,5.4,1841.0,65.8,804.0,715.0,544.0,0.9,3.2,37865.0,1.4,2.3
2001-05,39958,,,50638.33333,,5.4,1841.0,65.8,804.0,715.0,544.0,0.9,3.2,37865.0,1.4,2.3
2001-06,40463,,,50949.0,,5.4,1845.0,65.7,809.0,719.0,547.0,0.6,2.4,38554.0,0.7,2.8
2001-07,40393,,,51190.33333,,5.4,1845.0,65.7,809.0,719.0,547.0,0.6,2.4,38554.0,0.7,2.8
2001-08,40487,,,51431.66667,,5.4,1845.0,65.7,809.0,719.0,547.0,0.6,2.4,38554.0,0.7,2.8
2001-09,40920,,,51673.0,,5.6,1868.0,66.3,813.0,723.0,549.0,0.6,1.8,41469.0,1.5,4.0
2001-10,41482,,,52039.0,,5.6,1868.0,66.3,813.0,723.0,549.0,0.6,1.8,41469.0,1.5,4.0
