date,household_deposits,floating_mortgage_rate,six_month_term_deposit,average_weekly_earnings,ocr,activity_index,unemployment_rate,labour_force,labour_force_participation_rate,working_age_population,labour_cost_index,total_card_transactions,card_credit,card_debit,card_consumables,card_durables,card_hospitality,card_services,card_apparel,card_motor_vehicles_excl_fuel,card_fuel,card_non_retail_excl_services,gold_price,production_based_gdp,expenditure_based_gdp,nzd_usd,nzd_aud,nzd_jpy,nzd_cny,perception_curr_inflation_median_perc,perception_curr_inflation_mean_perc,expected_1_year_inflation_median_perc,expected_1_year_inflation_mean_perc,interest_rate_google,mortgage_rate_google,term_deposit_rate_google,home_loan_rate_google,ocr_google,reserve_bank_rates_google,how_to_save_money_google,cpi,cpi_food,cpi_housing_household,cpi_transport,cpi_petrol,cpi_excl_petrol,hpi,ppi_input,ppi_output,household_loans
1998-12,37277.0,6.49,4.17,545.34,,,7.9,1883.0,64.8,2908.0,772.0,,,,,,,,,,,,291.68,36813.0,37151.0,,,,,2.0,2.9,3.0,3.4,,,,,,,,679.0,658.0,,,443.0,,690.0,664.0,695.0,41005.0
1999-01,37123.0,6.49,4.17,547.94,,,7.766666666666667,1886.6666666666667,64.89999999999999,2908.0,773.0,,,,,,,,,,,,287.08,36328.333333333336,36617.0,0.53914,0.85229,60.97226,4.4631,2.0,2.8333333333333335,2.8333333333333335,3.3666666666666667,,,,,,,,678.3333333333334,660.0,,,439.6666666666667,,693.6666666666666,662.3333333333334,693.6666666666666,41357.0
1999-02,36935.0,6.49,4.25,550.54,,,7.633333333333334,1890.3333333333333,65.0,2908.0,774.0,,,,,,,,,,,,287.33,35843.666666666664,36083.0,0.54439,0.84977,63.39539,4.50654,2.0,2.7666666666666666,2.6666666666666665,3.333333333333333,,,,,,,,677.6666666666666,662.0,,,436.3333333333333,,697.3333333333334,660.6666666666666,692.3333333333334,41709.0
1999-03,37007.0,6.49,4.28,553.14,4.5,,7.5,1894.0,65.1,2908.0,775.0,,,,,,,,,,,,285.96,35359.0,35549.0,0.53213,0.84402,63.63347,4.40514,2.0,2.7,2.5,3.3,,,,,,,,677.0,664.0,,,433.0,,701.0,659.0,691.0,42061.0
1999-04,36679.0,6.49,4.3,551.91,4.5,,7.433333333333334,1895.0,65.1,2909.6666666666665,775.6666666666666,,,,,,,,,,,,282.62,35270.666666666664,35581.0,0.54173,0.84577,64.82187,4.48458,2.0,2.566666666666667,2.4,3.2333333333333334,,,,,,,,677.6666666666666,662.6666666666666,,,432.6666666666667,,702.3333333333334,660.6666666666666,692.3333333333334,42376.333333333336
1999-05,36907.0,6.49,4.4,550.6800000000001,4.5,,7.366666666666666,1896.0,65.1,2911.3333333333335,776.3333333333334,,,,,,,,,,,,276.44,35182.333333333336,35613.0,0.55279,0.83578,67.37929,4.57602,2.0,2.433333333333333,2.3000000000000003,3.1666666666666665,,,,,,,,678.3333333333334,661.3333333333334,,,432.3333333333333,,703.6666666666666,662.3333333333334,693.6666666666666,42691.666666666664
1999-06,37049.0,6.49,4.28,549.45,4.5,,7.3,1897.0,65.1,2913.0,777.0,,,,,,,,,,,,261.31,35094.0,35645.0,0.53271,0.81211,64.32328,4.40988,2.0,2.3,2.2,3.1,,,,,,,,679.0,660.0,537.0,743.0,432.0,690.0,705.0,664.0,695.0,43007.0
1999-07,37013.0,6.49,4.39,549.8833333333333,4.5,,7.2,1897.3333333333333,65.06666666666666,2915.0,778.3333333333334,,,,,,,,,,,,256.08,35499.333333333336,35294.666666666664,0.52674,0.80086,63.11124,4.36041,2.0,2.433333333333333,2.466666666666667,3.2333333333333334,,,,,,,,679.6666666666666,658.6666666666666,538.6666666666666,748.6666666666666,443.3333333333333,690.0,705.3333333333334,667.3333333333334,697.3333333333334,43674.333333333336
1999-08,37158.0,6.5,4.54,550.3166666666667,4.5,,7.1,1897.6666666666667,65.03333333333333,2917.0,779.6666666666666,,,,,,,,,,,,256.69,35904.666666666664,34944.333333333336,0.52711,0.81649,59.81311,4.36352,2.0,2.566666666666667,2.7333333333333334,3.3666666666666667,,,,,,,,680.3333333333334,657.3333333333334,540.3333333333334,754.3333333333334,454.6666666666667,690.0,705.6666666666666,670.6666666666666,699.6666666666666,44341.666666666664
1999-09,37318.0,6.5,4.77,550.75,4.5,,7.0,1898.0,65.0,2919.0,781.0,,,,,,,,,,,,264.74,36310.0,34594.0,0.52245,0.80532,56.05068,4.32477,2.0,2.7,3.0,3.5,,,,,,,,681.0,656.0,542.0,760.0,466.0,690.0,706.0,674.0,702.0,45009.0
