date,household_deposits,card_consumables,card_credit,household_loans,google_home_loan_rate_search
1998-12,"37,277",,,41005,
1999-01,"37,123",,,41357,
1999-02,"36,935",,,41709,
1999-03,"37,007",,,42061,
1999-04,"36,679",,,42376.33333,
1999-05,"36,907",,,42691.66667,
1999-06,"37,049",,,43007,
1999-07,"37,013",,,43674.33333,
1999-08,"37,158",,,44341.66667,
1999-09,"37,318",,,45009,
1999-10,"37,260",,,45324.66667,
1999-11,"37,431",,,45640.33333,
1999-12,"37,722",,,45956,
2000-01,"37,736",,,46200,
2000-02,"37,802",,,46444,
2000-03,"37,839",,,46688,
2000-04,"37,724",,,46922.66667,
2000-05,"37,986",,,47157.33333,
2000-06,"38,127",,,47392,
2000-07,"38,196",,,47607.33333,
2000-08,"38,007",,,47822.66667,
2000-09,"38,069",,,48038,
2000-10,"38,352",,,48452,
2000-11,"38,373",,,48866,
2000-12,"38,974",,,49280,
2001-01,"38,937",,,49525.66667,
2001-02,"39,145",,,49771.33333,
2001-03,"39,679",,,50017,
2001-04,"39,822",,,50327.66667,
2001-05,"39,958",,,50638.33333,
2001-06,"40,463",,,50949,
2001-07,"40,393",,,51190.33333,
2001-08,"40,487",,,51431.66667,
2001-09,"40,920",,,51673,
2001-10,"41,482",,,52039,
2001-11,"41,250",,,52405,
2001-12,"41,769",,,52771,
2002-01,"41,571",,,53132.33333,
2002-02,"42,037",,,53493.66667,
2002-03,"42,341",,,53855,
2002-04,"42,598",,,54066.66667,
2002-05,"42,929",,,54278.33333,
2002-06,"43,326",,,54490,
2002-07,"43,735",,,54823,
2002-08,"44,084",,,55156,
2002-09,"44,319",,,55489,
2002-10,"44,790",773.7,1204.4,56002.33333,
2002-11,"45,015",778.7,1291.3,56515.66667,
2002-12,"45,554",910.6,1587.8,57029,
2003-01,"45,627",776.8,1275.4,57569.33333,
2003-02,"45,838",724.6,1246.5,58109.66667,
2003-03,"45,921",782.5,1326,58650,
2003-04,"46,343",755.9,1215.2,59283.33333,
2003-05,"46,495",786.7,1236.9,59916.66667,
2003-06,"46,680",737.8,1144.4,60550,
2003-07,"47,191",782,1270.9,61281,
2003-08,"47,463",804.5,1243,62012,
2003-09,"47,639",765.8,1238.7,62743,
2003-10,"48,009",839.1,1334.8,63590.66667,
2003-11,"47,974",833,1429.8,64438.33333,
2003-12,"48,563",980.9,1797,65286,
2004-01,"48,728",840.2,1434.4,66019.66667,0
2004-02,"48,796",793,1414.9,66753.33333,0
2004-03,"49,120",835,1547.6,67487,0
2004-04,"49,602",819.9,1437.6,68215,0
2004-05,"50,057",829.8,1417.6,68943,0
2004-06,"50,565",797.5,1357,69671,0
2004-07,"50,896",846.9,1470.4,70347.33333,0
2004-08,"51,361",836.9,1438.5,71023.66667,0
2004-09,"51,612",827.8,1429.9,71700,0
2004-10,"52,043",875.2,1513.8,72601,0
2004-11,"52,328",894.3,1640.9,73502,0
2004-12,"52,912",1068.2,1967.8,74403,0
2005-01,"52,944",902.2,1551.9,75318.33333,0
2005-02,"53,362",849.2,1565.5,76233.66667,0
2005-03,"53,828",923.6,1690.4,77149,0
2005-04,"54,290",886.2,1575.6,77995.66667,0
2005-05,"54,897",894.9,1529.3,78842.33333,0
2005-06,"55,606",878.5,1490.4,79689,0
2005-07,"56,195",909.2,1604.4,80559,0
2005-08,"56,498",912.9,1589.3,81429,0
2005-09,"56,966",914.1,1578.6,82299,0
2005-10,"57,552",970.3,1656.4,83294,0
2005-11,"58,011",980,1773,84289,0
2005-12,"58,631",1154.6,2114.1,85284,0
2006-01,"58,573",963.9,1694.8,86056,0
2006-02,"59,198",903.1,1703.7,86828,0
2006-03,"59,615",992.5,1901.1,87600,0
2006-04,"60,258",968.1,1692.9,88431.33333,0
2006-05,"61,692",974.9,1757.3,89262.66667,0
2006-06,"62,816",950.7,1664.8,90094,0
2006-07,"63,521",979.1,1750.5,90764,0
2006-08,"64,268",993.8,1760.8,91434,0
