date,unemployment_rate,employed_labour_force,labour_force_participation_rate,labour_cost_index,cpi,cpi_housing_household,cpi_qq,cpi_yy,production_based_gdp,production_based_gdp_qq,production_based_gdp_yy
1994-03,9.3,"1,582",64,709,,,0,1.3,"30,466",1.5,6.8
1994-06,8.5,"1,599",63.9,710,,,0.4,1.1,"30,206",0.7,5.2
1994-09,8,"1,620",64.1,714,,,1.2,1.8,"30,662",1.7,4.9
1994-12,7.6,"1,643",64.5,715,,,1.2,2.8,"32,965",1.3,5.4
1995-03,6.8,"1,662",64.4,718,,,1.2,4,"31,959",1.2,4.9
1995-06,6.4,"1,678",64.5,720,,,1,4.6,"31,896",1.3,5.6
1995-09,6.2,"1,695",64.8,724,,,0.2,3.5,"32,139",0.9,4.8
1995-12,6.4,"1,709",65.2,728,,,0.6,2.9,"34,387",0.7,4.3
1996-03,6.4,"1,722",65.3,732,,,0.5,2.2,"33,310",1.4,4.2
1996-06,6.2,"1,740",65.6,734,,,0.8,2,"33,130",0.9,3.9
1996-09,6.5,"1,754",66.1,738,,,0.6,2.4,"33,337",0.7,3.7
1996-12,6.2,"1,744",65.3,743,,,0.7,2.6,"35,917",1.3,4.4
1997-03,6.7,"1,745",65.4,748,,,-0.3,1.8,"34,106",-0.4,2.4
1997-06,6.8,"1,754",65.6,752,,,0.1,1.1,"34,273",2,3.5
1997-09,7,"1,752",65.5,756,,,0.5,1,"34,251",-0.2,2.7
1997-12,7,"1,750",65.2,759,,,0.6,0.8,"36,387",-0.2,1.3
1998-03,7.4,"1,745",65.3,762,,,0.2,1.3,"34,417",-0.5,0.9
1998-06,7.9,"1,738",65.2,767,,,0.5,1.7,"34,090",0.5,-0.5
1998-09,7.7,"1,737",64.9,770,,,0.5,1.7,"34,263",0.1,0
1998-12,7.9,"1,734",64.8,772,679,,-0.8,0.4,"36,813",1,1.2
1999-03,7.5,"1,752",65.1,775,677,,-0.3,-0.1,"35,359",1.2,2.7
1999-06,7.3,"1,758",65.1,777,679,537,0.2,-0.4,"35,094",0.8,2.9
1999-09,7,"1,766",65,781,681,542,0.4,-0.5,"36,310",2.8,6
1999-12,6.4,"1,786",65.2,784,683,542,0.2,0.5,"39,081",1.2,6.2
2000-03,6.5,"1,784",65.1,786,687,545,0.7,1.5,"37,596",1.5,6.3
2000-06,6.3,"1,784",64.9,790,692,547,0.7,2,"37,013",0,5.5
2000-09,6,"1,806",65.3,793,702,551,1.4,3,"37,499",0.4,3.3
2000-12,5.8,"1,822",65.6,796,710,554,1.2,4,"39,883",0.2,2.1
2001-03,5.5,"1,824",65.4,800,708,544,-0.2,3.1,"37,935",0.3,0.9
2001-06,5.4,"1,841",65.8,804,715,544,0.9,3.2,"37,865",1.4,2.3
2001-09,5.4,"1,845",65.7,809,719,547,0.6,2.4,"38,554",0.7,2.8
