number,value,datetime_start,datetime_complete,duration,params_learning_rate,params_max_depth,params_min_samples_leaf,params_n_estimators,params_subsample,params_window_length,state
0,5899.806816337732,2025-10-15 07:51:47.733285,2025-10-15 07:52:29.859927,0 days 00:00:42.126642,0.09556428757689246,4,1,175,0.7468055921327309,156,COMPLETE
1,5926.484829502429,2025-10-15 07:52:29.861935,2025-10-15 07:52:53.118669,0 days 00:00:23.256734,0.08795585311974417,4,5,111,0.7061753482887407,168,COMPLETE
2,5971.360480697407,2025-10-15 07:52:53.119647,2025-10-15 07:53:33.696491,0 days 00:00:40.576844,0.029110519961044856,2,3,267,0.7912726728878613,110,COMPLETE
3,5986.39734525101,2025-10-15 07:53:33.697606,2025-10-15 07:54:23.781386,0 days 00:00:50.083780,0.036210622617823776,4,2,186,0.7876433945605654,105,COMPLETE
4,5936.048900593456,2025-10-15 07:54:23.782318,2025-10-15 07:54:56.603734,0 days 00:00:32.821416,0.08066583652537122,2,1,191,0.8777243706586128,147,COMPLETE
5,6182.348170423022,2025-10-15 07:54:56.604869,2025-10-15 07:55:22.817602,0 days 00:00:26.212733,0.02534717113185624,2,5,222,0.9896896099223678,195,COMPLETE
6,6006.762828469575,2025-10-15 07:55:22.818586,2025-10-15 07:56:02.155785,0 days 00:00:39.337199,0.018790490260574548,4,3,161,0.7366114704534336,138,COMPLETE
7,6011.512214676857,2025-10-15 07:56:02.156724,2025-10-15 07:56:25.667453,0 days 00:00:23.510729,0.09183883618709039,3,3,106,0.7935133228268233,163,COMPLETE
8,6050.811486796452,2025-10-15 07:56:25.668453,2025-10-15 07:57:19.240102,0 days 00:00:53.571649,0.026636900997297437,5,5,209,0.9818496824692567,176,COMPLETE
9,5919.320729461255,2025-10-15 07:57:19.241069,2025-10-15 07:57:51.642838,0 days 00:00:32.401769,0.09296868115208053,2,2,220,0.7135681866731614,111,COMPLETE
10,5974.298274697738,2025-10-15 07:57:51.643763,2025-10-15 07:59:31.304870,0 days 00:01:39.661107,0.06029658084317209,5,1,289,0.8920265507402669,132,COMPLETE
11,6031.835653923298,2025-10-15 07:59:31.305848,2025-10-15 08:00:15.921450,0 days 00:00:44.615602,0.06977107128253644,3,2,246,0.7028714299169524,90,COMPLETE
12,5968.9628666071,2025-10-15 08:00:15.922394,2025-10-15 08:00:50.623315,0 days 00:00:34.700921,0.09955258262452091,3,2,157,0.7567128213134552,123,COMPLETE
13,5987.5806200117,2025-10-15 08:00:50.624375,2025-10-15 08:01:33.644395,0 days 00:00:43.020020,0.07304936050865954,4,1,151,0.8406115656663526,148,COMPLETE
14,5994.733260414766,2025-10-15 08:01:33.645277,2025-10-15 08:02:21.914033,0 days 00:00:48.268756,0.047157765938096306,3,2,240,0.7492352802818627,115,COMPLETE
15,5969.474008780669,2025-10-15 08:02:21.915011,2025-10-15 08:03:10.911186,0 days 00:00:48.996175,0.09760519926013492,5,4,181,0.8202867909046132,157,COMPLETE
16,6017.094894639207,2025-10-15 08:03:10.912217,2025-10-15 08:03:32.380739,0 days 00:00:21.468522,0.08172456812725934,2,1,131,0.9333134810520822,187,COMPLETE
17,6011.047044942087,2025-10-15 08:03:32.381721,2025-10-15 08:04:15.125933,0 days 00:00:42.744212,0.056625049054528746,3,2,222,0.7252588682357146,93,COMPLETE
18,6131.08708623008,2025-10-15 08:04:15.126955,2025-10-15 08:05:14.928366,0 days 00:00:59.801411,0.06796680327864368,4,4,243,0.7834153509090996,128,COMPLETE
19,6076.839061739753,2025-10-15 08:05:14.929316,2025-10-15 08:05:56.816741,0 days 00:00:41.887425,0.04753132614308796,5,1,171,0.7558289461638743,178,COMPLETE
20,5928.7654655676415,2025-10-15 08:05:56.817679,2025-10-15 08:06:28.624998,0 days 00:00:31.807319,0.08291176351821808,2,2,205,0.8308618513111105,156,COMPLETE
21,5999.160284489,2025-10-15 08:06:28.625976,2025-10-15 08:06:53.546836,0 days 00:00:24.920860,0.08919677554211611,4,4,114,0.7108914439696354,168,COMPLETE
22,6048.846195489138,2025-10-15 08:06:53.547796,2025-10-15 08:07:19.699514,0 days 00:00:26.151718,0.08974204813093362,4,5,141,0.7015649045995043,172,COMPLETE
23,6196.747311645989,2025-10-15 08:07:19.700526,2025-10-15 08:07:51.437614,0 days 00:00:31.737088,0.07869923561564882,4,4,125,0.7403042851820969,141,COMPLETE
24,6020.824666221218,2025-10-15 08:07:51.438635,2025-10-15 08:08:40.599375,0 days 00:00:49.160740,0.09371249111328216,3,3,272,0.7639376368973125,152,COMPLETE
25,6028.101720756025,2025-10-15 08:08:40.603879,2025-10-15 08:09:28.411709,0 days 00:00:47.807830,0.08659652404590525,4,1,220,0.7153480696304774,162,COMPLETE
26,6068.821483399966,2025-10-15 08:09:28.412678,2025-10-15 08:09:53.362471,0 days 00:00:24.949793,0.07523082418263384,5,2,104,0.7290898428804777,186,COMPLETE
27,6084.63190296948,2025-10-15 08:09:53.363451,2025-10-15 08:10:26.567809,0 days 00:00:33.204358,0.09873745254750933,3,3,140,0.8106856832644125,118,COMPLETE
28,5960.520002827784,2025-10-15 08:10:26.568794,2025-10-15 08:11:19.783772,0 days 00:00:53.214978,0.0632086077412596,4,1,198,0.7743966708487907,101,COMPLETE
29,6041.552980317251,2025-10-15 08:11:19.784762,2025-10-15 08:11:50.941212,0 days 00:00:31.156450,0.09212849314878342,2,5,261,0.726346891104108,165,COMPLETE
30,5960.075643875117,2025-10-15 08:11:50.942210,2025-10-15 08:13:05.897093,0 days 00:01:14.954883,0.08338457084475911,4,2,300,0.7971161214996128,136,COMPLETE
